,ma_shap,group
con_L-SMG_R-RMFG_fa,0.010831508917221799,brain
con_L-STG_L-SMG_fa,0.01062077350448817,brain
tfmri_sstr1_199,0.010559714119695127,brain
con_L-FP_R-CA_fa,0.010524381579458715,brain
con_L-ITG_L-SFG_fa,0.010237426976673306,brain
con_L-POR_R-CMFG_fa,0.010220989644154908,brain
con_L-PTR_L-RACG_fa,0.010202906447928397,brain
ASP,0.010069606554321944,poly
con_L-IPG_L-LG_fa,0.009994331264775247,brain
rh_cuneus_meancurv._.4,0.009990253790281713,brain
lh_parstriangularis_area._.1,0.009958083802461626,brain
con_L-PrCG_R-RMFG_fa,0.00990439708083868,brain
con_L-PCU_R-LG_fa,0.00987473765388131,brain
tfmri_sstr1_315,0.009848031562939286,brain
tfmri_sstr1_56,0.009845825803652406,brain
con_L-ICG_R-ITG_fa,0.009788779478240759,brain
tfmri_sstr1_372,0.009629440756514668,brain
tfmri_sstr1_371,0.009564513604529203,brain
con_L-PHIG_R-CER_fa,0.009458417460788042,brain
con_L-FG_L-RMFG_fa,0.0094255016669631,brain
tfmri_sstr1_81,0.009161653560586274,brain
con_L-PU_L-PA_fa,0.009156801701895891,brain
tfmri_sstr1_269,0.009141696356784086,brain
con_L-CER_L-PA_fa,0.009135416931752115,brain
con_L-LG_R-IPG_fa,0.009091566722374409,brain
tfmri_sstr1_512,0.008655666062096135,brain
tfmri_sstr1_13,0.008615098844468594,brain
con_L-RMFG_L-AC_fa,0.00859219976980239,brain
con_L-STG_L-HI_fa,0.008586372503265738,brain
tfmri_sstr1_235,0.008579972270131112,brain
con_R-LOFG_R-PTR_fa,0.008379590595234186,brain
con_L-RMFG_R-CA_fa,0.008223668870003894,brain
lh_paracentral_thickness._.5,0.008118589064106346,brain
con_L-BSTS_R-ICG_fa,0.007768808136880399,brain
con_L-PCG_L-SPG_fa,0.007678904580778909,brain
con_R-STG_R-CER_fa,0.007510142463725058,brain
con_L-PCU_R-AM_fa,0.00731293426081538,brain
con_L-POP_R-CA_fa,0.007122074030945078,brain
con_L-FG_L-MOFG_fa,0.006292352906661109,brain
con_L-ITG_L-PCG_fa,0.005916078260913491,brain
SMOKER,0.005903075411170721,poly
con_L-LOG_R-CMFG_fa,0.005874415953923017,brain
con_L-ICG_R-HI_fa,0.005541678383015097,brain
con_L-SMG_L-HI_fa,0.0055375560812652115,brain
con_L-SMG_R-PTR_fa,0.005501190044917166,brain
con_L-BSTS_L-CU_fa,0.0053825222287327045,brain
con_L-BSTS_L-HI_fa,0.005371121567860245,brain
con_R-LOFG_R-PCAL_fa,0.0050756919087842104,brain
tfmri_sstr1_195,0.0049585294148419045,brain
rh_temporalpole_thickness._.6,0.004858237005281262,brain
con_L-MOFG_L-POR_fa,0.004771916883252561,brain
con_L-PU_R-RMFG_fa,0.004702477694302798,brain
con_L-BSTS_L-LOG_fa,0.004598694478534162,brain
con_L-CMFG_L-STG_fa,0.004222650772985071,brain
con_L-BSTS_L-IPG_fa,0.004051039419323206,brain
con_L-CU_L-PCU_fa,0.0035879489529877895,brain
tfmri_sstr1_320,0.003341429233504459,brain
con_R-FG_R-FP_fa,0.0,brain
con_R-ICG_R-LG_fa,0.0,brain
con_R-FG_R-PHIG_fa,0.0,brain
con_R-ICG_R-POP_fa,0.0,brain
con_R-FG_R-MTG_fa,0.0,brain
con_R-FG_R-MOFG_fa,0.0,brain
con_R-ICG_R-PCAL_fa,0.0,brain
con_R-ICG_R-LOFG_fa,0.0,brain
con_R-FG_R-LG_fa,0.0,brain
con_R-FG_R-TTG_fa,0.0,brain
con_R-FG_R-IN_fa,0.0,brain
con_R-FG_R-LOFG_fa,0.0,brain
con_R-FG_R-TP_fa,0.0,brain
con_R-FG_R-SPG_fa,0.0,brain
con_R-ICG_R-MOFG_fa,0.0,brain
con_R-FG_R-RMFG_fa,0.0,brain
con_R-FG_R-PCAL_fa,0.0,brain
con_R-FG_R-PoCG_fa,0.0,brain
con_R-FG_R-PCG_fa,0.0,brain
con_R-FG_R-CER_fa,0.0,brain
con_R-FG_R-PrCG_fa,0.0,brain
con_R-FG_R-PCU_fa,0.0,brain
con_R-FG_R-PTR_fa,0.0,brain
con_R-FG_R-RACG_fa,0.0,brain
con_R-FG_R-POR_fa,0.0,brain
con_R-ICG_R-POR_fa,0.0,brain
con_R-FG_R-POP_fa,0.0,brain
con_R-FG_R-PaCG_fa,0.0,brain
con_R-FG_R-SFG_fa,0.0,brain
con_R-ICG_R-PaCG_fa,0.0,brain
con_R-ICG_R-PHIG_fa,0.0,brain
con_R-ICG_R-MTG_fa,0.0,brain
con_R-FG_R-STG_fa,0.0,brain
con_R-FG_R-SMG_fa,0.0,brain
con_R-ICG_R-LOG_fa,0.0,brain
con_R-IPG_R-PaCG_fa,0.0,brain
con_R-ITG_R-CER_fa,0.0,brain
con_R-ITG_R-MOFG_fa,0.0,brain
con_R-IPG_R-FP_fa,0.0,brain
con_R-IPG_R-TP_fa,0.0,brain
con_R-IPG_R-TTG_fa,0.0,brain
con_R-ITG_R-STG_fa,0.0,brain
con_R-FG_R-LOG_fa,0.0,brain
con_R-ITG_R-ICG_fa,0.0,brain
con_R-ITG_R-SPG_fa,0.0,brain
con_R-ITG_R-LOG_fa,0.0,brain
con_R-ITG_R-SFG_fa,0.0,brain
con_R-ITG_R-LOFG_fa,0.0,brain
con_R-ITG_R-LG_fa,0.0,brain
con_R-ITG_R-MTG_fa,0.0,brain
con_R-IPG_R-ITG_fa,0.0,brain
con_R-ITG_R-PHIG_fa,0.0,brain
con_R-ITG_R-PaCG_fa,0.0,brain
con_R-ITG_R-POP_fa,0.0,brain
con_R-ITG_R-POR_fa,0.0,brain
con_R-ITG_R-RMFG_fa,0.0,brain
con_R-ITG_R-PTR_fa,0.0,brain
con_R-ITG_R-PCAL_fa,0.0,brain
con_R-ITG_R-PoCG_fa,0.0,brain
con_R-ITG_R-PCG_fa,0.0,brain
con_R-ITG_R-PrCG_fa,0.0,brain
con_R-ITG_R-RACG_fa,0.0,brain
con_R-ITG_R-SMG_fa,0.0,brain
con_R-ITG_R-FP_fa,0.0,brain
con_R-IPG_R-SMG_fa,0.0,brain
con_R-ITG_R-TP_fa,0.0,brain
con_R-IPG_R-ICG_fa,0.0,brain
con_R-IPG_R-LOG_fa,0.0,brain
con_R-IPG_R-LOFG_fa,0.0,brain
con_R-ITG_R-IN_fa,0.0,brain
con_R-IPG_R-LG_fa,0.0,brain
con_R-IPG_R-MOFG_fa,0.0,brain
con_R-IPG_R-MTG_fa,0.0,brain
con_R-IPG_R-PHIG_fa,0.0,brain
con_R-ITG_R-PCU_fa,0.0,brain
con_R-IPG_R-POP_fa,0.0,brain
con_R-IPG_R-POR_fa,0.0,brain
con_R-IPG_R-PTR_fa,0.0,brain
con_R-IPG_R-PCAL_fa,0.0,brain
con_R-IPG_R-PoCG_fa,0.0,brain
con_R-IPG_R-PCG_fa,0.0,brain
con_R-IPG_R-PrCG_fa,0.0,brain
con_R-IPG_R-PCU_fa,0.0,brain
con_R-IPG_R-RACG_fa,0.0,brain
con_R-IPG_R-RMFG_fa,0.0,brain
con_R-IPG_R-SFG_fa,0.0,brain
con_R-ITG_R-TTG_fa,0.0,brain
con_R-IPG_R-SPG_fa,0.0,brain
con_R-IPG_R-STG_fa,0.0,brain
con_R-IPG_R-CER_fa,0.0,brain
con_R-CU_R-IN_fa,0.0,brain
con_R-FG_R-ICG_fa,0.0,brain
con_R-CMFG_R-PaCG_fa,0.0,brain
con_R-CACG_R-IN_fa,0.0,brain
con_R-CACG_R-CER_fa,0.0,brain
con_R-CMFG_R-CU_fa,0.0,brain
con_R-CMFG_R-EC_fa,0.0,brain
con_R-CMFG_R-FG_fa,0.0,brain
con_R-CMFG_R-IPG_fa,0.0,brain
con_R-CMFG_R-ITG_fa,0.0,brain
con_R-CMFG_R-ICG_fa,0.0,brain
con_R-CMFG_R-LOG_fa,0.0,brain
con_R-CMFG_R-LOFG_fa,0.0,brain
con_R-CMFG_R-LG_fa,0.0,brain
con_R-CMFG_R-MOFG_fa,0.0,brain
con_R-CMFG_R-MTG_fa,0.0,brain
con_R-CMFG_R-PHIG_fa,0.0,brain
con_R-CMFG_R-POP_fa,0.0,brain
con_R-FG_R-ITG_fa,0.0,brain
con_R-CMFG_R-POR_fa,0.0,brain
con_R-CMFG_R-PTR_fa,0.0,brain
con_R-CMFG_R-PCAL_fa,0.0,brain
con_R-CMFG_R-PoCG_fa,0.0,brain
con_R-CMFG_R-PCG_fa,0.0,brain
con_R-CMFG_R-PrCG_fa,0.0,brain
con_R-CMFG_R-PCU_fa,0.0,brain
con_R-CMFG_R-RACG_fa,0.0,brain
con_R-CMFG_R-RMFG_fa,0.0,brain
con_R-CMFG_R-SFG_fa,0.0,brain
con_R-CMFG_R-SPG_fa,0.0,brain
con_R-CMFG_R-STG_fa,0.0,brain
con_R-CMFG_R-SMG_fa,0.0,brain
con_R-CMFG_R-FP_fa,0.0,brain
con_R-CACG_R-TTG_fa,0.0,brain
con_R-CACG_R-TP_fa,0.0,brain
con_R-CACG_R-FP_fa,0.0,brain
con_R-CACG_R-STG_fa,0.0,brain
con_R-BSTS_R-TTG_fa,0.0,brain
con_R-BSTS_R-IN_fa,0.0,brain
con_R-BSTS_R-CER_fa,0.0,brain
con_R-CACG_R-CMFG_fa,0.0,brain
con_R-CACG_R-CU_fa,0.0,brain
con_R-CACG_R-EC_fa,0.0,brain
con_R-CACG_R-FG_fa,0.0,brain
con_R-CACG_R-IPG_fa,0.0,brain
con_R-CACG_R-ITG_fa,0.0,brain
con_R-CACG_R-ICG_fa,0.0,brain
con_R-CACG_R-LOG_fa,0.0,brain
con_R-CACG_R-LOFG_fa,0.0,brain
con_R-CACG_R-LG_fa,0.0,brain
con_R-CACG_R-MOFG_fa,0.0,brain
con_R-CACG_R-MTG_fa,0.0,brain
con_R-CACG_R-PHIG_fa,0.0,brain
con_R-CACG_R-PaCG_fa,0.0,brain
con_R-CACG_R-POP_fa,0.0,brain
con_R-CACG_R-POR_fa,0.0,brain
con_R-CACG_R-PTR_fa,0.0,brain
con_R-CACG_R-PCAL_fa,0.0,brain
con_R-CACG_R-PoCG_fa,0.0,brain
con_R-CACG_R-PCG_fa,0.0,brain
con_R-CACG_R-PrCG_fa,0.0,brain
con_R-CACG_R-PCU_fa,0.0,brain
con_R-CACG_R-RACG_fa,0.0,brain
con_R-CACG_R-RMFG_fa,0.0,brain
con_R-CACG_R-SFG_fa,0.0,brain
con_R-CACG_R-SPG_fa,0.0,brain
con_R-CMFG_R-TP_fa,0.0,brain
con_R-CMFG_R-TTG_fa,0.0,brain
con_R-CMFG_R-IN_fa,0.0,brain
con_R-EC_R-FG_fa,0.0,brain
con_R-EC_R-ITG_fa,0.0,brain
con_R-EC_R-ICG_fa,0.0,brain
con_R-EC_R-LOG_fa,0.0,brain
con_R-EC_R-LOFG_fa,0.0,brain
con_R-EC_R-LG_fa,0.0,brain
con_R-EC_R-MOFG_fa,0.0,brain
con_R-EC_R-MTG_fa,0.0,brain
con_R-EC_R-PHIG_fa,0.0,brain
con_R-EC_R-PaCG_fa,0.0,brain
con_R-EC_R-POP_fa,0.0,brain
con_R-EC_R-POR_fa,0.0,brain
con_R-EC_R-PTR_fa,0.0,brain
con_R-EC_R-PCAL_fa,0.0,brain
con_R-EC_R-PoCG_fa,0.0,brain
con_R-EC_R-PCG_fa,0.0,brain
con_R-EC_R-PrCG_fa,0.0,brain
con_R-EC_R-PCU_fa,0.0,brain
con_R-EC_R-RACG_fa,0.0,brain
con_R-EC_R-RMFG_fa,0.0,brain
con_R-EC_R-SFG_fa,0.0,brain
con_R-EC_R-SPG_fa,0.0,brain
con_R-EC_R-STG_fa,0.0,brain
con_R-EC_R-SMG_fa,0.0,brain
con_R-EC_R-FP_fa,0.0,brain
con_R-EC_R-TP_fa,0.0,brain
con_R-EC_R-TTG_fa,0.0,brain
con_R-EC_R-IN_fa,0.0,brain
con_R-EC_R-CER_fa,0.0,brain
con_R-FG_R-IPG_fa,0.0,brain
con_R-EC_R-IPG_fa,0.0,brain
con_R-CU_R-CER_fa,0.0,brain
con_R-CMFG_R-CER_fa,0.0,brain
con_R-ICG_R-PCG_fa,0.0,brain
con_R-CU_R-EC_fa,0.0,brain
con_R-CU_R-FG_fa,0.0,brain
con_R-CU_R-IPG_fa,0.0,brain
con_R-CU_R-ITG_fa,0.0,brain
con_R-CU_R-ICG_fa,0.0,brain
con_R-CU_R-LOG_fa,0.0,brain
con_R-CU_R-LOFG_fa,0.0,brain
con_R-CU_R-LG_fa,0.0,brain
con_R-CU_R-MOFG_fa,0.0,brain
con_R-CU_R-MTG_fa,0.0,brain
con_R-CU_R-PHIG_fa,0.0,brain
con_R-CU_R-PaCG_fa,0.0,brain
con_R-CU_R-POP_fa,0.0,brain
con_R-CU_R-POR_fa,0.0,brain
con_R-CU_R-PTR_fa,0.0,brain
con_R-CU_R-PCAL_fa,0.0,brain
con_R-CU_R-PoCG_fa,0.0,brain
con_R-CU_R-PCG_fa,0.0,brain
con_R-CU_R-PrCG_fa,0.0,brain
con_R-CU_R-PCU_fa,0.0,brain
con_R-CU_R-RACG_fa,0.0,brain
con_R-CU_R-RMFG_fa,0.0,brain
con_R-CU_R-SFG_fa,0.0,brain
con_R-CU_R-SPG_fa,0.0,brain
con_R-CU_R-STG_fa,0.0,brain
con_R-CU_R-SMG_fa,0.0,brain
con_R-CU_R-FP_fa,0.0,brain
con_R-CU_R-TP_fa,0.0,brain
con_R-CU_R-TTG_fa,0.0,brain
con_R-ICG_R-PoCG_fa,0.0,brain
con_R-LOG_R-TTG_fa,0.0,brain
con_R-ICG_R-PrCG_fa,0.0,brain
con_R-POR_R-RACG_fa,0.0,brain
con_R-POR_R-FP_fa,0.0,brain
con_R-POR_R-SMG_fa,0.0,brain
con_R-POR_R-STG_fa,0.0,brain
con_R-POR_R-SPG_fa,0.0,brain
con_R-POR_R-SFG_fa,0.0,brain
con_R-POR_R-RMFG_fa,0.0,brain
con_R-POR_R-PCU_fa,0.0,brain
con_R-POR_R-TTG_fa,0.0,brain
con_R-POR_R-PrCG_fa,0.0,brain
con_R-POR_R-PCG_fa,0.0,brain
con_R-POR_R-PoCG_fa,0.0,brain
con_R-POR_R-PCAL_fa,0.0,brain
con_R-POR_R-PTR_fa,0.0,brain
con_R-POP_R-CER_fa,0.0,brain
con_R-POR_R-TP_fa,0.0,brain
con_R-POR_R-IN_fa,0.0,brain
con_R-POP_R-TTG_fa,0.0,brain
con_R-PTR_R-SFG_fa,0.0,brain
con_R-PTR_R-TTG_fa,0.0,brain
con_R-PTR_R-TP_fa,0.0,brain
con_R-PTR_R-FP_fa,0.0,brain
con_R-PTR_R-SMG_fa,0.0,brain
con_R-PTR_R-STG_fa,0.0,brain
con_R-PTR_R-SPG_fa,0.0,brain
con_R-PTR_R-RMFG_fa,0.0,brain
con_R-POR_R-CER_fa,0.0,brain
con_R-PTR_R-RACG_fa,0.0,brain
con_R-PTR_R-PCU_fa,0.0,brain
con_R-PTR_R-PrCG_fa,0.0,brain
con_R-PTR_R-PCG_fa,0.0,brain
con_R-PTR_R-PoCG_fa,0.0,brain
con_R-PTR_R-PCAL_fa,0.0,brain
con_R-POP_R-IN_fa,0.0,brain
con_R-POP_R-TP_fa,0.0,brain
con_R-PTR_R-CER_fa,0.0,brain
con_R-PaCG_R-PCU_fa,0.0,brain
con_R-PaCG_R-SMG_fa,0.0,brain
con_R-PaCG_R-STG_fa,0.0,brain
con_R-PaCG_R-SPG_fa,0.0,brain
con_R-PaCG_R-SFG_fa,0.0,brain
con_R-PaCG_R-RMFG_fa,0.0,brain
con_R-PaCG_R-RACG_fa,0.0,brain
con_R-PaCG_R-PrCG_fa,0.0,brain
con_R-PaCG_R-TP_fa,0.0,brain
con_R-PaCG_R-PCG_fa,0.0,brain
con_R-PaCG_R-PoCG_fa,0.0,brain
con_R-PaCG_R-PCAL_fa,0.0,brain
con_R-PaCG_R-PTR_fa,0.0,brain
con_R-PaCG_R-POR_fa,0.0,brain
con_R-PaCG_R-POP_fa,0.0,brain
con_R-PaCG_R-FP_fa,0.0,brain
con_R-PaCG_R-TTG_fa,0.0,brain
con_R-POP_R-FP_fa,0.0,brain
con_R-POP_R-PCU_fa,0.0,brain
con_R-POP_R-SMG_fa,0.0,brain
con_R-POP_R-STG_fa,0.0,brain
con_R-POP_R-SPG_fa,0.0,brain
con_R-POP_R-SFG_fa,0.0,brain
con_R-POP_R-RMFG_fa,0.0,brain
con_R-POP_R-RACG_fa,0.0,brain
con_R-POP_R-PrCG_fa,0.0,brain
con_R-PaCG_R-IN_fa,0.0,brain
con_R-POP_R-PCG_fa,0.0,brain
con_R-POP_R-PoCG_fa,0.0,brain
con_R-POP_R-PCAL_fa,0.0,brain
con_R-POP_R-PTR_fa,0.0,brain
con_R-POP_R-POR_fa,0.0,brain
con_R-PaCG_R-CER_fa,0.0,brain
con_R-PTR_R-IN_fa,0.0,brain
con_R-PCAL_R-PoCG_fa,0.0,brain
con_R-ICG_R-PCU_fa,0.0,brain
con_R-PrCG_R-SFG_fa,0.0,brain
con_R-PrCG_R-IN_fa,0.0,brain
con_R-PrCG_R-TTG_fa,0.0,brain
con_R-PrCG_R-TP_fa,0.0,brain
con_R-PrCG_R-FP_fa,0.0,brain
con_R-PrCG_R-STG_fa,0.0,brain
con_R-PrCG_R-SPG_fa,0.0,brain
con_R-PrCG_R-RMFG_fa,0.0,brain
con_R-PCU_R-RACG_fa,0.0,brain
con_R-PrCG_R-RACG_fa,0.0,brain
con_R-PrCG_R-PCU_fa,0.0,brain
con_R-PCG_R-CER_fa,0.0,brain
con_R-PCG_R-IN_fa,0.0,brain
con_R-PCG_R-TTG_fa,0.0,brain
con_R-PCG_R-TP_fa,0.0,brain
con_R-PrCG_R-CER_fa,0.0,brain
con_R-PCU_R-RMFG_fa,0.0,brain
con_R-PCG_R-SMG_fa,0.0,brain
con_R-PCU_R-CER_fa,0.0,brain
con_R-RACG_R-FP_fa,0.0,brain
con_R-RACG_R-SMG_fa,0.0,brain
con_R-RACG_R-STG_fa,0.0,brain
con_R-RACG_R-SPG_fa,0.0,brain
con_R-RACG_R-SFG_fa,0.0,brain
con_R-RACG_R-RMFG_fa,0.0,brain
con_R-PCU_R-IN_fa,0.0,brain
con_R-PCU_R-SFG_fa,0.0,brain
con_R-PCU_R-TTG_fa,0.0,brain
con_R-PCU_R-TP_fa,0.0,brain
con_R-PCU_R-FP_fa,0.0,brain
con_R-PCU_R-SMG_fa,0.0,brain
con_R-PCU_R-STG_fa,0.0,brain
con_R-PCU_R-SPG_fa,0.0,brain
con_R-PCG_R-FP_fa,0.0,brain
con_R-PCG_R-STG_fa,0.0,brain
con_R-PCAL_R-PCG_fa,0.0,brain
con_R-PCAL_R-SMG_fa,0.0,brain
con_R-PoCG_R-PCG_fa,0.0,brain
con_R-PCAL_R-CER_fa,0.0,brain
con_R-PCAL_R-IN_fa,0.0,brain
con_R-PCAL_R-TTG_fa,0.0,brain
con_R-PCAL_R-TP_fa,0.0,brain
con_R-PCAL_R-FP_fa,0.0,brain
con_R-PCAL_R-STG_fa,0.0,brain
con_R-PoCG_R-PCU_fa,0.0,brain
con_R-PCAL_R-SPG_fa,0.0,brain
con_R-PCAL_R-SFG_fa,0.0,brain
con_R-PCAL_R-RMFG_fa,0.0,brain
con_R-PCAL_R-RACG_fa,0.0,brain
con_R-PCAL_R-PCU_fa,0.0,brain
con_R-PCAL_R-PrCG_fa,0.0,brain
con_R-PoCG_R-PrCG_fa,0.0,brain
con_R-PoCG_R-RACG_fa,0.0,brain
con_R-PCG_R-SPG_fa,0.0,brain
con_R-PoCG_R-IN_fa,0.0,brain
con_R-PCG_R-SFG_fa,0.0,brain
con_R-PCG_R-RMFG_fa,0.0,brain
con_R-PCG_R-RACG_fa,0.0,brain
con_R-PCG_R-PCU_fa,0.0,brain
con_R-PCG_R-PrCG_fa,0.0,brain
con_R-PoCG_R-CER_fa,0.0,brain
con_R-PoCG_R-TTG_fa,0.0,brain
con_R-PoCG_R-RMFG_fa,0.0,brain
con_R-PoCG_R-TP_fa,0.0,brain
con_R-PoCG_R-FP_fa,0.0,brain
con_R-PoCG_R-SMG_fa,0.0,brain
con_R-PoCG_R-STG_fa,0.0,brain
con_R-PoCG_R-SPG_fa,0.0,brain
con_R-PoCG_R-SFG_fa,0.0,brain
con_R-PHIG_R-CER_fa,0.0,brain
con_R-PHIG_R-IN_fa,0.0,brain
con_R-PHIG_R-TTG_fa,0.0,brain
con_R-LOFG_R-PCG_fa,0.0,brain
con_R-LOFG_R-SPG_fa,0.0,brain
con_R-LOFG_R-SFG_fa,0.0,brain
con_R-LOFG_R-RMFG_fa,0.0,brain
con_R-LOFG_R-RACG_fa,0.0,brain
con_R-LOFG_R-PCU_fa,0.0,brain
con_R-LOFG_R-PrCG_fa,0.0,brain
con_R-LOFG_R-PoCG_fa,0.0,brain
con_R-LOFG_R-SMG_fa,0.0,brain
con_R-LOFG_R-POR_fa,0.0,brain
con_R-LOFG_R-POP_fa,0.0,brain
con_R-LOFG_R-PaCG_fa,0.0,brain
con_R-LOFG_R-PHIG_fa,0.0,brain
con_R-LOFG_R-MTG_fa,0.0,brain
con_R-LOFG_R-MOFG_fa,0.0,brain
con_R-LOFG_R-STG_fa,0.0,brain
con_R-LOFG_R-FP_fa,0.0,brain
con_R-LOG_R-CER_fa,0.0,brain
con_R-LG_R-POP_fa,0.0,brain
con_R-LG_R-PrCG_fa,0.0,brain
con_R-LG_R-PCG_fa,0.0,brain
con_R-LG_R-PoCG_fa,0.0,brain
con_R-LG_R-PCAL_fa,0.0,brain
con_R-LG_R-PTR_fa,0.0,brain
con_R-LG_R-POR_fa,0.0,brain
con_R-LG_R-PaCG_fa,0.0,brain
con_R-LOFG_R-TP_fa,0.0,brain
con_R-LG_R-PHIG_fa,0.0,brain
con_R-LG_R-MTG_fa,0.0,brain
con_R-LG_R-MOFG_fa,0.0,brain
con_R-LOFG_R-CER_fa,0.0,brain
con_R-LOFG_R-IN_fa,0.0,brain
con_R-LOFG_R-TTG_fa,0.0,brain
con_R-LOFG_R-LG_fa,0.0,brain
con_R-LOG_R-IN_fa,0.0,brain
con_R-PHIG_R-TP_fa,0.0,brain
con_R-ICG_R-TP_fa,0.0,brain
con_R-LOG_R-MOFG_fa,0.0,brain
con_R-LOG_R-LG_fa,0.0,brain
con_R-LOG_R-LOFG_fa,0.0,brain
con_R-ICG_R-CER_fa,0.0,brain
con_R-ICG_R-IN_fa,0.0,brain
con_R-ICG_R-TTG_fa,0.0,brain
con_R-ICG_R-FP_fa,0.0,brain
con_R-LOG_R-PaCG_fa,0.0,brain
con_R-ICG_R-SMG_fa,0.0,brain
con_R-ICG_R-STG_fa,0.0,brain
con_R-ICG_R-SPG_fa,0.0,brain
con_R-ICG_R-SFG_fa,0.0,brain
con_R-ICG_R-RMFG_fa,0.0,brain
con_R-ICG_R-RACG_fa,0.0,brain
con_R-LOG_R-PHIG_fa,0.0,brain
